id,name,total.over.15,male.over.15,male.college,male.grad,male.other,female.over.15,female.college,female.grad,female.other
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",16369264,7813212,413757,244671,7154784,8556052,491515,320771,7743766
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",10704082,5231146,419742,113440,4697964,5472936,471702,148835,4852399
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",7655569,3706152,190425,113657,3402070,3949417,237371,144651,3567395
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",5397582,2626136,157772,38364,2430000,2771446,205373,46079,2519994
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",5010662,2469879,157740,34552,2277587,2540783,197849,43910,2299024
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",4934056,2355687,115651,78619,2161417,2578369,147713,107332,2323324
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",4914564,2359448,138368,52701,2168379,2555116,175762,76316,2303038
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",4838825,2336045,158433,68710,2108902,2502780,178202,89319,2235259
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",4428714,2116591,130325,41374,1944892,2312123,168788,63368,2079967
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",3928547,1886564,83248,107088,1696228,2041983,104752,135619,1801612
41860,"San Francisco-Oakland-Hayward, CA Metro Area",3795184,1859920,136417,34695,1688808,1935264,155125,48834,1731305
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",3552473,1752912,116655,25761,1610496,1799561,135057,32911,1631593
19820,"Detroit-Warren-Dearborn, MI Metro Area",3491335,1674618,103271,22133,1549214,1816717,134680,30531,1651506
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",3451350,1704177,118296,32788,1553093,1747173,141888,42601,1562684
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",2992824,1485304,92345,22986,1369973,1507520,101670,32502,1373348
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2785443,1367357,78197,28547,1260613,1418086,95082,39116,1283888
41740,"San Diego-Carlsbad, CA Metro Area",2646310,1324927,114376,31029,1179522,1321383,117378,32799,1171206
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2432413,1164908,62239,20638,1082031,1267505,79880,28279,1159346
41180,"St. Louis, MO-IL Metro Area",2275453,1088332,52891,33020,1002421,1187121,69956,40740,1076425
12580,"Baltimore-Columbia-Towson, MD Metro Area",2267614,1078949,75469,25783,977697,1188665,96221,33390,1059054
19740,"Denver-Aurora-Lakewood, CO Metro Area",2202637,1089063,60222,19558,1009283,1113574,70754,25985,1016835
38300,"Pittsburgh, PA Metro Area",1981439,953393,42344,25582,885467,1028046,55886,30218,941942
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",1911432,936786,54263,16582,865941,974646,65594,25226,883826
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",1897455,918611,68928,19590,830093,978844,82181,24952,871711
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",1893151,906255,48730,14415,843110,986896,66229,19926,900741
41980,"San Juan-Carolina-Caguas, PR Metro Area",1840501,857128,26900,47337,782891,983373,38076,60896,884401
41700,"San Antonio-New Braunfels, TX Metro Area",1830172,894709,60772,17395,816542,935463,69809,22613,843041
40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",1804345,873596,77440,12015,784141,930749,93711,15248,821790
17140,"Cincinnati, OH-KY-IN Metro Area",1716994,831812,52255,11689,767868,885182,65220,15836,804126
17460,"Cleveland-Elyria, OH Metro Area",1691827,805711,38197,18753,748761,886116,54112,26171,805833
29820,"Las Vegas-Henderson-Paradise, NV Metro Area",1657564,825131,43574,11184,770373,832433,52962,13733,765738
28140,"Kansas City, MO-KS Metro Area",1639467,794589,40664,13132,740793,844878,50687,18194,775997
18140,"Columbus, OH Metro Area",1592953,776510,54926,13961,707623,816443,64831,20204,731408
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1563970,784137,59946,21053,703138,779833,62475,21619,695739
26900,"Indianapolis-Carmel-Anderson, IN Metro Area",1554063,749394,37522,12851,699021,804669,51725,19319,733625
12420,"Austin-Round Rock, TX Metro Area",1545437,768547,68605,9677,690265,776890,77980,13260,685650
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1437904,693577,34782,19124,639671,744327,44044,22152,678131
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1391829,679013,55322,15132,608559,712816,67887,18569,626360
39300,"Providence-Warwick, RI-MA Metro Area",1339634,642221,35365,23399,583457,697413,44222,31256,621935
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",1262833,608088,33114,16530,558444,654745,40310,25029,589406
27260,"Jacksonville, FL Metro Area",1153974,555632,31453,10400,513779,598342,41031,13942,543369
32820,"Memphis, TN-MS-AR Metro Area",1057746,498952,28041,7761,463150,558794,42099,12479,504216
36420,"Oklahoma City, OK Metro Area",1055870,515449,39611,7368,468470,540421,49388,8682,482351
31140,"Louisville/Jefferson County, KY-IN Metro Area",1027196,495633,25840,7021,462772,531563,31796,11310,488457
40060,"Richmond, VA Metro Area",1026800,491077,30241,8229,452607,535723,41866,12071,481786
35380,"New Orleans-Metairie, LA Metro Area",1014317,485433,20838,12445,452150,528884,33482,18099,477303
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1005844,485894,32347,12365,441182,519950,39768,19338,460844
39580,"Raleigh, NC Metro Area",983047,473192,35357,7676,430159,509855,41001,11579,457275
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",943915,452587,30272,8721,413594,491328,32543,14303,444482
